,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,comptage_fonctions,pays
0,ROLEX,DATEJUST-36,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,10437.0,70.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,ROYAUME-UNI
1,ZENO-WATCH-BASEL,X-LARGE-RETRO,AUTOMATIQUE,ACIER,,,Bon,HOMME,699.0,42.0,44.0,3.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,1,ESPAGNE
2,ROLEX,YACHT-MASTER-40,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,21215.0,70.0,40.0,10.0,,SAPHIR,PLIS,OR,1,POLOGNE
3,ROLEX,DATEJUST-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,10437.0,48.0,41.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,ROYAUME-UNI
5,PANERAI,LUMINOR-MARINA,AUTOMATIQUE,ACIER,CUIR,,Neuf,HOMME,7300.0,72.0,36.0,3.0,ACIER,SAPHIR,PLIS,ACIER,0,ALLEMAGNE
7,AUDEMARS-PIGUET,ROYAL-OAK-CHRONOGRAPH,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,39900.0,40.0,38.0,5.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,0,FRANCE
8,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,13250.0,48.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
9,ROLEX,OYSTER-PERPETUAL-41,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,HOMME,8690.0,70.0,41.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,0,FRANCE
10,CARTIER,TANK-LOUIS-CARTIER,MANUEL,OR_JAUNE,,,Bon,HOMME,7000.0,38.0,24.0,,,MINÉRAL,PLIS,OR,0,FRANCE
12,ROLEX,DAYTONA,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,28800.0,72.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,BELGIQUE
13,CARTIER,SANTOS,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,7600.0,42.0,39.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
14,OMEGA,SPEEDMASTER,MANUEL,ACIER,TEXTILE,,Bon,HOMME,15950.0,50.0,42.0,5.0,CÉRAMIQUE,SAPHIR,BOUCLE_ARDILLON,CÉRAMIQUE,0,FRANCE
15,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,13200.0,48.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
16,TUDOR,BLACK-BAY,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,4350.0,70.0,41.0,20.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
17,ZENITH,CHRONOMASTER-SPORT,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,9158.0,60.0,41.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2,FRANCE
18,ROLEX,DATEJUST-36,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,HOMME,10290.0,70.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
19,CARTIER,SANTOS,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,4900.0,42.0,29.0,3.0,,SAPHIR,PLIS,OR,1,FRANCE
20,SEIKO,5-SPORTS,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,2490.0,41.0,40.0,10.0,ACIER,MINÉRAL,PLIS,ACIER,2,FRANCE
21,CARTIER,SANTOS-100,AUTOMATIQUE,TITANE,CUIR,,Bon,HOMME,4400.0,42.0,38.0,10.0,TITANE,SAPHIR,DOUBLE_PLIS,TITANE,0,FRANCE
22,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,13900.0,48.0,40.0,30.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
24,JAEGER-LECOULTRE,MASTER-WORLD-GEOGRAPHIC,AUTOMATIQUE,ACIER,,,Bon,HOMME,8500.0,,42.0,5.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2,FRANCE
25,ROLEX,DAYTONA,AUTOMATIQUE,OR_ROSE,,,Bon,HOMME,49900.0,72.0,40.0,10.0,,SAPHIR,PLIS,OR,1,FRANCE
26,TUDOR,BLACK-BAY-BRONZE,AUTOMATIQUE,BRONZE,CUIR,,Bon,HOMME,3590.0,70.0,43.0,20.0,BRONZE,SAPHIR,BOUCLE_ARDILLON,BRONZE,0,FRANCE
27,TUDOR,BLACK-BAY-FIFTY-EIGHT,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,HOMME,3000.0,70.0,39.0,20.0,ALUMINIUM,SAPHIR,PLIS,ALUMINIUM,0,FRANCE
28,ROLEX,DATEJUST-36,AUTOMATIQUE,OR_JAUNE,CUIR,,Bon,HOMME,6900.0,40.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
29,GLYCINE,COMBAT-SUB,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,429.0,38.0,39.0,30.0,ALUMINIUM,SAPHIR,PLIS,ACIER,1,FRANCE
30,OMEGA,SPEEDMASTER-REDUCED,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,3690.0,40.0,39.0,3.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
31,OMEGA,SPEEDMASTER-REDUCED,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,3650.0,40.0,39.0,3.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2,FRANCE
32,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,13900.0,70.0,41.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,FRANCE
33,TUDOR,BLACK-BAY-FIFTY-EIGHT,AUTOMATIQUE,ARGENT,TEXTILE,,Bon,HOMME,3290.0,70.0,39.0,20.0,ALUMINIUM,SAPHIR,BOUCLE_ARDILLON,ALUMINIUM,0,FRANCE
34,AUDEMARS-PIGUET,ROYAL-OAK-SELFWINDING,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,34900.0,60.0,41.0,5.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,1,FRANCE
35,ROLEX,MILGAUSS,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,9990.0,48.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
37,ROLEX,SEA-DWELLER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,20900.0,48.0,40.0,,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
39,ROLEX,DAYTONA,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,28000.0,72.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,FRANCE
40,TUDOR,PELAGOS,AUTOMATIQUE,TITANE,TEXTILE,,Bon,HOMME,4700.0,70.0,42.0,20.0,CÉRAMIQUE,SAPHIR,BOUCLE_ARDILLON,CÉRAMIQUE,0,FRANCE
41,ROLEX,OYSTER-PERPETUAL-41,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,9200.0,70.0,41.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,0,FRANCE
42,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,13900.0,48.0,40.0,20.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
43,ROLEX,EXPLORER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,8950.0,48.0,42.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
44,TUDOR,BLACK-BAY-CHRONO,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,4990.0,70.0,41.0,20.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
45,ROLEX,OYSTER-PERPETUAL-41,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,9950.0,70.0,41.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,0,FRANCE
46,SINN,556,AUTOMATIQUE,ACIER,,,Bon,HOMME,1120.0,38.0,38.0,20.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,1,FRANCE
47,SEIKO,PRESAGE,AUTOMATIQUE,TITANE,TITANE,,Neuf,HOMME,1590.0,50.0,40.0,10.0,TITANE,SAPHIR,PLIS,TITANE,1,FRANCE
48,CARTIER,TANK-SOLO,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,3070.0,,,,,,DOUBLE_PLIS,,0,FRANCE
49,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,10900.0,48.0,40.0,30.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
50,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,21900.0,70.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,FRANCE
51,SEIKO,5,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,329.0,40.0,34.0,3.0,ACIER,MINÉRAL,PLIS,ACIER,2,FRANCE
52,ROLEX,GMT-MASTER,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,13500.0,42.0,40.0,10.0,,SAPHIR,PLIS,OR,2,FRANCE
53,SEIKO,5-SPORTS,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,1800.0,41.0,40.0,10.0,ACIER,MINÉRAL,PLIS,ACIER,2,FRANCE
54,AUDEMARS-PIGUET,ROYAL-OAK-SELFWINDING,AUTOMATIQUE,OR_ROSE,,,Bon,HOMME,43900.0,60.0,41.0,5.0,,SAPHIR,PLIS,OR,1,FRANCE
55,ROLEX,YACHT-MASTER-40,AUTOMATIQUE,OR_ROSE,CAOUTCHOUC,,Bon,HOMME,28780.0,48.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,FRANCE
57,ROLEX,EXPLORER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,6900.0,50.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
58,ROLEX,SEA-DWELLER-4000,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,12500.0,70.0,43.0,,CÉRAMIQUE,SAPHIR,DOUBLE_PLIS,CÉRAMIQUE,1,FRANCE
60,SEIKO,5,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,219.0,40.0,34.0,3.0,ACIER,MINÉRAL,PLIS,ACIER,2,FRANCE
61,BREGUET,CLASSIQUE,AUTOMATIQUE,OR_BLANC,,,Bon,HOMME,17500.0,48.0,36.0,30.0,,SAPHIR,PLIS,OR,3,FRANCE
62,SEIKO,5-SPORTS,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,380.0,41.0,42.0,10.0,ACIER,MINÉRAL,PLIS,ACIER,2,FRANCE
63,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,10900.0,48.0,40.0,30.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
64,ROLEX,EXPLORER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,17490.0,48.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
65,VACHERON-CONSTANTIN,HISTORIQUES,AUTOMATIQUE,OR_JAUNE,,,Neuf,HOMME,93000.0,40.0,37.0,5.0,,SAPHIR,BOUCLE_ARDILLON,OR,1,FRANCE
66,ROLEX,DAYTONA,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,22900.0,72.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
67,SEIKO,SCUBA,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,335.0,41.0,42.0,20.0,ACIER,MINÉRAL,PLIS,ACIER,1,FRANCE
68,TAG-HEUER,AQUARACER-300M,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,1690.0,38.0,41.0,30.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
69,OMEGA,SPEEDMASTER-REDUCED,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,3400.0,42.0,39.0,5.0,ACIER,SAPHIR,PLIS,ACIER,1,BELGIQUE
70,ROLEX,DAYTONA,AUTOMATIQUE,OR_BLANC,CAOUTCHOUC,,Bon,HOMME,30900.0,72.0,40.0,10.0,,SAPHIR,PLIS,OR,1,FRANCE
71,ROLEX,DAYTONA,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,29900.0,72.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,FRANCE
72,ROLEX,DATEJUST-41,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,13950.0,70.0,41.0,10.0,,SAPHIR,PLIS,OR,1,FRANCE
73,ROLEX,YACHT-MASTER-37,AUTOMATIQUE,OR_ROSE,CAOUTCHOUC,,Bon,HOMME,25500.0,55.0,37.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,FRANCE
75,ROLEX,DATEJUST-41,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,12000.0,70.0,41.0,10.0,,SAPHIR,PLIS,OR,1,FRANCE
76,JAEGER-LECOULTRE,MASTER-CONTROL,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,3900.0,,37.0,5.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,1,FRANCE
77,ROLEX,OYSTER-PERPETUAL-41,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,15800.0,70.0,41.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,0,FRANCE
78,TUDOR,PELAGOS,AUTOMATIQUE,TITANE,TITANE,,Bon,HOMME,4000.0,70.0,39.0,20.0,TITANE,SAPHIR,PLIS,TITANE,0,FRANCE
79,SWATCH,MOONSWATCH,MANUEL,CÉRAMIQUE,TEXTILE,,Neuf,HOMME,330.0,,42.0,3.0,CÉRAMIQUE,,PLIS,CÉRAMIQUE,0,FRANCE
80,ROLEX,DAYTONA,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,30500.0,72.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,FRANCE
81,SEIKO,5,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,234.0,40.0,38.0,3.0,ACIER,MINÉRAL,PLIS,ACIER,0,FRANCE
82,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,13250.0,48.0,40.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,FRANCE
83,ALPINA,ALPINER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,950.0,38.0,41.0,20.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,1,FRANCE
84,TUDOR,PELAGOS,AUTOMATIQUE,TITANE,TITANE,,Bon,HOMME,3950.0,70.0,42.0,50.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,FRANCE
85,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,19590.0,70.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,FRANCE
87,SEIKO,PROSPEX,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,850.0,70.0,40.0,20.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
88,ROLEX,DATEJUST-36,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,9900.0,70.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
89,SWATCH,MOONSWATCH,MANUEL,CÉRAMIQUE,TEXTILE,,Neuf,HOMME,380.0,,42.0,3.0,CÉRAMIQUE,,,CÉRAMIQUE,0,FRANCE
90,SEIKO,PRESAGE,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,890.0,41.0,40.0,5.0,ACIER,MINÉRAL,PLIS,ACIER,1,FRANCE
91,ROLEX,YACHT-MASTER-42,AUTOMATIQUE,OR_JAUNE,CAOUTCHOUC,,Bon,HOMME,34780.0,70.0,42.0,10.0,,SAPHIR,PLIS,OR,0,FRANCE
92,TUDOR,BLACK-BAY-54,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,3590.0,70.0,37.0,20.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
93,SWATCH,MOONSWATCH,MANUEL,CÉRAMIQUE,TEXTILE,,Neuf,HOMME,598.0,,42.0,3.0,CÉRAMIQUE,,PLIS,CÉRAMIQUE,0,FRANCE
94,PATEK-PHILIPPE,AQUANAUT,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,54900.0,45.0,40.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,1,FRANCE
95,TUDOR,BLACK-BAY-FIFTY-EIGHT,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,2949.0,70.0,39.0,20.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
96,ZODIAC,SEA-WOLF,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,1199.0,42.0,40.0,20.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,1,FRANCE
97,SEIKO,PRESAGE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,320.0,41.0,40.0,5.0,ACIER,MINÉRAL,PLIS,ACIER,1,FRANCE
98,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,12750.0,48.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2,FRANCE
99,ROLEX,EXPLORER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,7900.0,50.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
100,SWATCH,MOONSWATCH,MANUEL,CÉRAMIQUE,TEXTILE,,Neuf,HOMME,330.0,,42.0,3.0,CÉRAMIQUE,,PLIS,CÉRAMIQUE,0,FRANCE
102,SEIKO,SCUBA,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,380.0,41.0,38.0,20.0,ACIER,MINÉRAL,PLIS,ACIER,1,FRANCE
103,PATEK-PHILIPPE,AQUANAUT,AUTOMATIQUE,OR_ROSE,CAOUTCHOUC,,Bon,HOMME,104500.0,45.0,40.0,10.0,,SAPHIR,PLIS,OR,0,FRANCE
104,BREITLING,COLT,AUTOMATIQUE,ACIER,,,Satisfaisant,HOMME,600.0,,38.0,,ACIER,,,ACIER,0,FRANCE
105,PANERAI,LUMINOR-GMT-AUTOMATIC,AUTOMATIQUE,ACIER,,,Bon,HOMME,4600.0,42.0,44.0,30.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2,FRANCE
106,OMEGA,SPEEDMASTER-PROFESSIONAL-MOONWATCH,MANUEL,ACIER,ACIER,,État non spécifié,HOMME,10300.0,50.0,42.0,5.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
107,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,7900.0,48.0,40.0,30.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
108,BELL-&-ROSS,BR-V1,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,2400.0,42.0,38.0,10.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,0,FRANCE
109,PANERAI,LUMINOR-MARINA,MANUEL,ACIER,CUIR,,Bon,HOMME,4500.0,56.0,44.0,30.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,0,FRANCE
110,OMEGA,SPEEDMASTER-REDUCED,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,2450.0,40.0,39.0,3.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
111,OMEGA,SPEEDMASTER-PROFESSIONAL-MOONWATCH,MANUEL,ACIER,ACIER,,Neuf,HOMME,7800.0,50.0,42.0,5.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
112,PATEK-PHILIPPE,NAUTILUS,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,99500.0,55.0,40.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2,FRANCE
113,PATEK-PHILIPPE,NAUTILUS,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,44900.0,48.0,37.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
114,SWATCH,MOONSWATCH,MANUEL,CÉRAMIQUE,TEXTILE,,Neuf,HOMME,400.0,,42.0,3.0,CÉRAMIQUE,,,CÉRAMIQUE,0,FRANCE
115,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,9900.0,48.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
116,ORIENT,KAMASU,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,150.0,40.0,42.0,20.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
117,ROLEX,DAYTONA,AUTOMATIQUE,OR_JAUNE,,,Bon,HOMME,93500.0,72.0,40.0,10.0,,SAPHIR,PLIS,OR,1,FRANCE
118,SEIKO,5,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,499.0,40.0,36.0,3.0,ACIER,MINÉRAL,PLIS,ACIER,0,FRANCE
119,NOMOS,CLUB,MANUEL,ACIER,CUIR,,Bon,HOMME,1100.0,43.0,36.0,10.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,1,FRANCE
120,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,HOMME,15900.0,70.0,40.0,30.0,CÉRAMIQUE,SAPHIR,DOUBLE_PLIS,CÉRAMIQUE,0,FRANCE
121,AUDEMARS-PIGUET,ROYAL-OAK,AUTOMATIQUE,OR_ROSE,,,Bon,HOMME,53900.0,70.0,41.0,5.0,ACIER,SAPHIR,PLIS,OR,1,FRANCE
123,CARTIER,SANTOS-GALBÉE,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,2999.0,,29.0,3.0,,SAPHIR,PLIS,OR,1,FRANCE
124,ROLEX,DATEJUST-41,AUTOMATIQUE,OR_JAUNE,ACIER,,Bon,HOMME,15800.0,70.0,41.0,10.0,,SAPHIR,PLIS,OR,1,FRANCE
125,PANERAI,LUMINOR-SUBMERSIBLE,AUTOMATIQUE,TITANE,CAOUTCHOUC,,Bon,HOMME,5460.0,42.0,44.0,30.0,TITANE,SAPHIR,BOUCLE_ARDILLON,TITANE,1,FRANCE
126,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,14750.0,48.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2,FRANCE
127,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,15890.0,70.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2,FRANCE
128,OMEGA,SEAMASTER-PLANET-OCEAN,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,4100.0,48.0,42.0,60.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
129,OMEGA,SPEEDMASTER-PROFESSIONAL-MOONWATCH,MANUEL,ACIER,ACIER,,Bon,HOMME,5450.0,48.0,42.0,5.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
130,TUDOR,BLACK-BAY,AUTOMATIQUE,ARGENT,TEXTILE,,Bon,HOMME,3500.0,70.0,39.0,20.0,ALUMINIUM,SAPHIR,BOUCLE_ARDILLON,ALUMINIUM,0,FRANCE
131,SWATCH,MOONSWATCH,MANUEL,CÉRAMIQUE,TEXTILE,,Neuf,HOMME,490.0,,42.0,3.0,CÉRAMIQUE,,,CÉRAMIQUE,0,FRANCE
132,CARTIER,SANTOS,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,4450.0,42.0,29.0,3.0,,SAPHIR,PLIS,OR,1,FRANCE
133,BLANCPAIN,LÉMAN-FLY-BACK,AUTOMATIQUE,ACIER,,,Bon,HOMME,1950.0,,350.0,,,,,,0,FRANCE
134,SEIKO,ASTRON-GPS-SOLAR,AUTOMATIQUE,TITANE,TITANE,,Bon,HOMME,999.0,,45.0,,,,DOUBLE_PLIS,TITANE,3,FRANCE
135,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,16900.0,70.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2,FRANCE
136,OMEGA,GENÈVE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,775.0,50.0,36.0,,ACIER,,BOUCLE_ARDILLON,ACIER,2,FRANCE
137,CARTIER,SANTOS,AUTOMATIQUE,ACIER,CAOUTCHOUC,,Bon,HOMME,6700.0,42.0,39.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,1,FRANCE
138,ORIS,ARTELIER-DATE,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,780.0,38.0,40.0,5.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
139,SEIKO,SCUBA,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,385.0,41.0,42.0,20.0,ACIER,MINÉRAL,PLIS,ACIER,2,FRANCE
140,TISSOT,PRX,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,360.0,,40.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,1,FRANCE
141,IWC,PILOT-CHRONOGRAPH,AUTOMATIQUE,TITANE,CAOUTCHOUC,,Bon,HOMME,8740.0,46.0,41.0,10.0,TITANE,SAPHIR,BOUCLE_ARDILLON,TITANE,0,FRANCE
142,ROLEX,SUBMARINER-NO-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,9900.0,48.0,40.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,FRANCE
143,ROLEX,SUBMARINER-NO-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,11450.0,70.0,41.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,BELGIQUE
144,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,16900.0,48.0,40.0,30.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
145,JAEGER-LECOULTRE,REVERSO-CLASSIQUE,MANUEL,ACIER,AUTRUCHE,,Bon,HOMME,4500.0,45.0,23.0,3.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,0,FRANCE
146,SEIKO,PROSPEX,AUTOMATIQUE,ACIER,ACIER,,Satisfaisant,HOMME,550.0,70.0,42.0,20.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
147,ROLEX,SUBMARINER-NO-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,8300.0,48.0,40.0,30.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
148,ROLEX,YACHT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,18300.0,72.0,44.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,FRANCE
